S No.,Value Date,Transaction Date,Withdrawal Amount(INR),Deposit Amount(INR),Balance(INR),
439,"09,08,2025","09,08,2025",350.00,0.00,781592.10,
440,"09,08,2025","09,08,2025",5.00,0.00,781587.10,
441,"10,08,2025","10,08,2025",80.00,0.00,781507.10,
442,"10,08,2025","10,08,2025",8.00,0.00,781499.10,
443,"11,08,2025","11,08,2025",96.00,0.00,781403.10,
444,"11,08,2025","11,08,2025",45.00,0.00,781358.10,
445,"11,08,2025","11,08,2025",119.00,0.00,781239.10,
446,"11,08,2025","11,08,2025",119.00,0.00,781120.10,
447,"11,08,2025","11,08,2025",118.00,0.00,781002.10,
448,"11,08,2025","11,08,2025",40.00,0.00,780962.10,
449,"11,08,2025","11,08,2025",0.00,15000.00,795962.10,
450,"11,08,2025","11,08,2025",0.00,1.00,795963.10,
451,"11,08,2025","11,08,2025",0.00,13000.00,808963.10,
452,"12,08,2025","12,08,2025",0.00,119.00,809082.10,
453,"12,08,2025","12,08,2025",121.25,0.00,808960.85,
454,"12,08,2025","12,08,2025",40.00,0.00,808920.85,
455,"12,08,2025","12,08,2025",60.00,0.00,808860.85,
456,"12,08,2025","12,08,2025",0.00,40.00,808900.85,
457,"12,08,2025","12,08,2025",95.00,0.00,808805.85,
458,"12,08,2025","12,08,2025",136.00,0.00,808669.85,
459,"14,08,2025","14,08,2025",80.00,0.00,808589.85,
460,"15,08,2025","15,08,2025",80.00,0.00,808509.85,
461,"15,08,2025","15,08,2025",220.00,0.00,808289.85,
462,"16,08,2025","16,08,2025",273.00,0.00,808016.85,
463,"16,08,2025","16,08,2025",90.00,0.00,807926.85,
464,"17,08,2025","17,08,2025",551.00,0.00,807375.85,
465,"18,08,2025","18,08,2025",148.00,0.00,807227.85,
466,"18,08,2025","18,08,2025",60.00,0.00,807167.85,
467,"18,08,2025","18,08,2025",130.00,0.00,807037.85,
468,"18,08,2025","18,08,2025",111.00,0.00,806926.85,
469,"19,08,2025","19,08,2025",56.00,0.00,806870.85,
470,"19,08,2025","19,08,2025",142.00,0.00,806728.85,
471,"19,08,2025","19,08,2025",75.00,0.00,806653.85,
472,"19,08,2025","19,08,2025",0.00,66.00,806719.85,
473,"19,08,2025","19,08,2025",99.00,0.00,806620.85,
474,"19,08,2025","19,08,2025",30.00,0.00,806590.85,
475,"19,08,2025","19,08,2025",127.00,0.00,806463.85,
476,"19,08,2025","19,08,2025",120.00,0.00,806343.85,
477,"20,08,2025","20,08,2025",110.00,0.00,806233.85,
478,"20,08,2025","20,08,2025",130.00,0.00,806103.85,
479,"21,08,2025","21,08,2025",273.00,0.00,805830.85,
480,"21,08,2025","21,08,2025",105.00,0.00,805725.85,
481,"21,08,2025","21,08,2025",60.00,0.00,805665.85,
482,"21,08,2025","21,08,2025",2000.00,0.00,803665.85,
483,"21,08,2025","21,08,2025",119.00,0.00,803546.85,
484,"21,08,2025","21,08,2025",110.00,0.00,803436.85,
485,"22,08,2025","22,08,2025",150.00,0.00,803286.85,
486,"22,08,2025","22,08,2025",122.00,0.00,803164.85,
487,"22,08,2025","22,08,2025",200.00,0.00,802964.85,
488,"23,08,2025","23,08,2025",80.00,0.00,802884.85,
489,"23,08,2025","23,08,2025",40.00,0.00,802844.85,
490,"23,08,2025","23,08,2025",220.00,0.00,802624.85,
491,"23,08,2025","23,08,2025",110.00,0.00,802514.85,
492,"24,08,2025","24,08,2025",80.00,0.00,802434.85,
493,"25,08,2025","25,08,2025",100.55,0.00,802334.30,
494,"25,08,2025","25,08,2025",75.00,0.00,802259.30,
495,"25,08,2025","25,08,2025",119.00,0.00,802140.30,
496,"26,08,2025","26,08,2025",107.30,0.00,802033.00,
497,"26,08,2025","26,08,2025",45.00,0.00,801988.00,
498,"26,08,2025","26,08,2025",94.75,0.00,801893.25,
499,"26,08,2025","26,08,2025",221.00,0.00,801672.25,
500,"26,08,2025","26,08,2025",0.00,10.00,801682.25,
501,"26,08,2025","26,08,2025",11.00,0.00,801671.25,
502,"26,08,2025","26,08,2025",334.96,0.00,801336.29,
503,"28,08,2025","28,08,2025",130.00,0.00,801206.29,
504,"28,08,2025","28,08,2025",65.00,0.00,801141.29,
505,"28,08,2025","28,08,2025",95.00,0.00,801046.29,
506,"29,08,2025","29,08,2025",96.00,0.00,800950.29,
507,"29,08,2025","29,08,2025",65.00,0.00,800885.29,
508,"29,08,2025","29,08,2025",110.00,0.00,800775.29,
,,,,,,
509,"29,08,2025","29,08,2025",70.00,0.00,800705.29,
510,"30,08,2025","30,08,2025",0.00,118955.00,919660.29,
511,"30,08,2025","30,08,2025",92.00,0.00,919568.29,
512,"30,08,2025","30,08,2025",60.00,0.00,919508.29,
513,"30,08,2025","30,08,2025",119.00,0.00,919389.29,
514,"30,08,2025","30,08,2025",109.00,0.00,919280.29,
515,"30,08,2025","30,08,2025",5900.00,0.00,913380.29,
516,"31,08,2025","31,08,2025",80.00,0.00,913300.29,
517,"31,08,2025","31,08,2025",2034.00,0.00,911266.29,
518,"31,08,2025","31,08,2025",100.00,0.00,911166.29,
519,"01,09,2025","01,09,2025",108.00,0.00,911058.29,
520,"01,09,2025","01,09,2025",60.00,0.00,910998.29,
521,"01,09,2025","01,09,2025",2000.00,0.00,908998.29,
522,"01,09,2025","01,09,2025",130.00,0.00,908868.29,
523,"01,09,2025","01,09,2025",124.00,0.00,908744.29,
524,"02,09,2025","02,09,2025",100.00,0.00,908644.29,
525,"02,09,2025","02,09,2025",40.00,0.00,908604.29,
526,"02,09,2025","02,09,2025",119.00,0.00,908485.29,
527,"02,09,2025","02,09,2025",90.00,0.00,908395.29,
528,"02,09,2025","02,09,2025",35.00,0.00,908360.29,
529,"02,09,2025","02,09,2025",80.00,0.00,908280.29,
,,,,,,
530,"03,09,2025","03,09,2025",40.00,0.00,908240.29,
531,"03,09,2025","03,09,2025",110.00,0.00,908130.29,
532,"03,09,2025","03,09,2025",100.00,0.00,908030.29,
533,"03,09,2025","03,09,2025",100.00,0.00,907930.29,
534,"03,09,2025","03,09,2025",600.00,0.00,907330.29,
535,"04,09,2025","04,09,2025",0.00,100.00,907430.29,
536,"04,09,2025","04,09,2025",80.00,0.00,907350.29,
537,"05,09,2025","05,09,2025",80.00,0.00,907270.29,
538,"05,09,2025","05,09,2025",518.00,0.00,906752.29,
539,"05,09,2025","05,09,2025",7920.00,0.00,898832.29,
540,"06,09,2025","06,09,2025",100.00,0.00,898732.29,
541,"06,09,2025","06,09,2025",40.00,0.00,898692.29,
542,"06,09,2025","06,09,2025",35.00,0.00,898657.29,
543,"06,09,2025","06,09,2025",110.00,0.00,898547.29,
544,"06,09,2025","06,09,2025",599.00,0.00,897948.29,
545,"06,09,2025","06,09,2025",110.00,0.00,897838.29,
546,"07,09,2025","07,09,2025",480.00,0.00,897358.29,
547,"07,09,2025","07,09,2025",205.00,0.00,897153.29,
548,"07,09,2025","07,09,2025",2002.00,0.00,895151.29,
549,"07,09,2025","07,09,2025",190.00,0.00,894961.29,
550,"07,09,2025","07,09,2025",10.00,0.00,894951.29,
,,,,,,
551,"07,09,2025","07,09,2025",125.00,0.00,894826.29,
552,"07,09,2025","07,09,2025",121.00,0.00,894705.29,
553,"07,09,2025","07,09,2025",110.00,0.00,894595.29,
554,"08,09,2025","08,09,2025",599.00,0.00,893996.29,
555,"08,09,2025","08,09,2025",20.00,0.00,893976.29,
556,"08,09,2025","08,09,2025",370.00,0.00,893606.29,
557,"08,09,2025","08,09,2025",70.00,0.00,893536.29,
558,"08,09,2025","08,09,2025",1500.00,0.00,892036.29,
559,"08,09,2025","08,09,2025",250.00,0.00,891786.29,
560,"08,09,2025","08,09,2025",840.00,0.00,890946.29,
561,"08,09,2025","08,09,2025",918.00,0.00,890028.29,
562,"08,09,2025","08,09,2025",780.00,0.00,889248.29,
563,"09,09,2025","09,09,2025",105.00,0.00,889143.29,
564,"09,09,2025","09,09,2025",40.00,0.00,889103.29,
565,"09,09,2025","09,09,2025",35.00,0.00,889068.29,
566,"09,09,2025","09,09,2025",123.00,0.00,888945.29,
567,"09,09,2025","09,09,2025",24.00,0.00,888921.29,
568,"10,09,2025","10,09,2025",60.00,0.00,888861.29,
569,"10,09,2025","10,09,2025",1500.00,0.00,887361.29,
570,"10,09,2025","10,09,2025",500.00,0.00,886861.29,
571,"10,09,2025","10,09,2025",1000.00,0.00,885861.29,
,,,,,,
572,"10,09,2025","10,09,2025",500.00,0.00,885361.29,
573,"11,09,2025","11,09,2025",0.00,200.00,885561.29,
574,"11,09,2025","11,09,2025",135.00,0.00,885426.29,
575,"11,09,2025","11,09,2025",40.00,0.00,885386.29,
576,"11,09,2025","11,09,2025",40.00,0.00,885346.29,
577,"11,09,2025","11,09,2025",130.00,0.00,885216.29,
578,"11,09,2025","11,09,2025",200.00,0.00,885016.29,
579,"12,09,2025","12,09,2025",120.00,0.00,884896.29,
580,"12,09,2025","12,09,2025",1592.00,0.00,883304.29,
581,"12,09,2025","12,09,2025",108.00,0.00,883196.29,
582,"13,09,2025","13,09,2025",90.00,0.00,883106.29,
583,"13,09,2025","13,09,2025",260.00,0.00,882846.29,
584,"13,09,2025","13,09,2025",2739.00,0.00,880107.29,
585,"13,09,2025","13,09,2025",292.00,0.00,879815.29,
586,"14,09,2025","14,09,2025",12135.00,0.00,867680.29,
587,"14,09,2025","14,09,2025",2300.00,0.00,865380.29,
588,"14,09,2025","14,09,2025",23684.00,0.00,841696.29,
589,"14,09,2025","14,09,2025",480.00,0.00,841216.29,
590,"14,09,2025","14,09,2025",410.00,0.00,840806.29,
591,"14,09,2025","14,09,2025",6720.00,0.00,834086.29,
592,"14,09,2025","14,09,2025",1315.00,0.00,832771.29,
593,"15,09,2025","15,09,2025",105.00,0.00,832666.29,
594,"15,09,2025","15,09,2025",81.00,0.00,832585.29,
595,"16,09,2025","16,09,2025",120.00,0.00,832465.29,
596,"16,09,2025","16,09,2025",10000.00,0.00,822465.29,
597,"16,09,2025","16,09,2025",1500.00,0.00,820965.29,
598,"16,09,2025","16,09,2025",250.00,0.00,820715.29,
599,"16,09,2025","16,09,2025",72.00,0.00,820643.29,
600,"16,09,2025","16,09,2025",150.00,0.00,820493.29,
601,"17,09,2025","17,09,2025",3883.00,0.00,816610.29,
602,"17,09,2025","17,09,2025",140.00,0.00,816470.29,
603,"17,09,2025","17,09,2025",150.00,0.00,816320.29,
604,"17,09,2025","17,09,2025",40000.00,0.00,776320.29,
605,"17,09,2025","17,09,2025",15000.00,0.00,761320.29,
606,"17,09,2025","17,09,2025",20.00,0.00,761300.29,
607,"17,09,2025","17,09,2025",210.00,0.00,761090.29,
608,"18,09,2025","18,09,2025",3115.00,0.00,757975.29,
609,"18,09,2025","18,09,2025",488.00,0.00,757487.29,
610,"18,09,2025","18,09,2025",328.00,0.00,757159.29,
611,"18,09,2025","18,09,2025",0.00,96155.00,853314.29,
612,"18,09,2025","18,09,2025",310.00,0.00,853004.29,
613,"19,09,2025","19,09,2025",2549.10,0.00,850455.19,
,,,,,,
614,"19,09,2025","19,09,2025",4951.00,0.00,845504.19,
615,"19,09,2025","19,09,2025",328.39,0.00,845175.80,
616,"20,09,2025","20,09,2025",767.00,0.00,844408.80,
617,"20,09,2025","20,09,2025",273.00,0.00,844135.80,
618,"20,09,2025","20,09,2025",489.00,0.00,843646.80,
619,"20,09,2025","20,09,2025",312.54,0.00,843334.26,
620,"21,09,2025","21,09,2025",0.00,7500.00,850834.26,
621,"21,09,2025","21,09,2025",24000.00,0.00,826834.26,
622,"21,09,2025","21,09,2025",3000.00,0.00,823834.26,
623,"21,09,2025","21,09,2025",50000.00,0.00,773834.26,
624,"22,09,2025","22,09,2025",72.00,0.00,773762.26,
625,"22,09,2025","22,09,2025",100.00,0.00,773662.26,
626,"22,09,2025","22,09,2025",70.00,0.00,773592.26,
627,"22,09,2025","22,09,2025",517.00,0.00,773075.26,
628,"22,09,2025","22,09,2025",266.34,0.00,772808.92,
629,"23,09,2025","23,09,2025",72.00,0.00,772736.92,
630,"23,09,2025","23,09,2025",405.00,0.00,772331.92,
631,"23,09,2025","23,09,2025",110.00,0.00,772221.92,
632,"23,09,2025","23,09,2025",70.00,0.00,772151.92,
633,"23,09,2025","23,09,2025",265.29,0.00,771886.63,
634,"24,09,2025","24,09,2025",0.00,1330.00,773216.63,
,,,,,,
635,"24,09,2025","24,09,2025",1.00,0.00,773215.63,
636,"24,09,2025","24,09,2025",261.50,0.00,772954.13,
637,"24,09,2025","24,09,2025",382.25,0.00,772571.88,
638,"25,09,2025","25,09,2025",60.00,0.00,772511.88,
639,"27,09,2025","27,09,2025",381.15,0.00,772130.73,
640,"28,09,2025","28,09,2025",80.00,0.00,772050.73,
641,"28,09,2025","28,09,2025",120.00,0.00,771930.73,
642,"29,09,2025","29,09,2025",70.00,0.00,771860.73,
643,"29,09,2025","29,09,2025",110.00,0.00,771750.73,
644,"29,09,2025","29,09,2025",50.00,0.00,771700.73,
645,"29,09,2025","29,09,2025",76.00,0.00,771624.73,
646,"29,09,2025","29,09,2025",290.00,0.00,771334.73,
647,"29,09,2025","30,09,2025",0.00,7331.00,778665.73,
648,"30,09,2025","30,09,2025",0.00,223240.00,1001905.73,
649,"30,09,2025","30,09,2025",70.00,0.00,1001835.73,
650,"30,09,2025","30,09,2025",80.00,0.00,1001755.73,
651,"30,09,2025","30,09,2025",1.00,0.00,1001754.73,
652,"30,09,2025","30,09,2025",65.22,0.00,1001689.51,
653,"01,10,2025","01,10,2025",25156.00,0.00,976533.51,
654,"01,10,2025","01,10,2025",340.00,0.00,976193.51,
655,"02,10,2025","02,10,2025",220.00,0.00,975973.51,
656,"03,10,2025","03,10,2025",599.00,0.00,975374.51,
657,"03,10,2025","03,10,2025",600.00,0.00,974774.51,
658,"03,10,2025","03,10,2025",0.00,7800.00,982574.51,
659,"03,10,2025","03,10,2025",352.00,0.00,982222.51,
660,"04,10,2025","04,10,2025",522.50,0.00,981700.01,
661,"04,10,2025","04,10,2025",230.00,0.00,981470.01,
662,"05,10,2025","05,10,2025",784.11,0.00,980685.90,
663,"05,10,2025","05,10,2025",190.00,0.00,980495.90,
664,"05,10,2025","05,10,2025",1000.00,0.00,979495.90,
665,"06,10,2025","06,10,2025",121.00,0.00,979374.90,
666,"06,10,2025","06,10,2025",90.00,0.00,979284.90,
667,"06,10,2025","06,10,2025",80.00,0.00,979204.90,
668,"06,10,2025","06,10,2025",90.00,0.00,979114.90,
669,"06,10,2025","06,10,2025",145.00,0.00,978969.90,
670,"07,10,2025","07,10,2025",110.00,0.00,978859.90,
671,"07,10,2025","07,10,2025",75.00,0.00,978784.90,
672,"07,10,2025","07,10,2025",60.00,0.00,978724.90,
673,"07,10,2025","07,10,2025",45.00,0.00,978679.90,
674,"07,10,2025","07,10,2025",131.00,0.00,978548.90,
675,"08,10,2025","08,10,2025",110.00,0.00,978438.90,
676,"08,10,2025","08,10,2025",90.00,0.00,978348.90,
677,"08,10,2025","08,10,2025",93.00,0.00,978255.90,
,,,,,,
678,"08,10,2025","08,10,2025",0.00,50000.00,1028255.90,
679,"08,10,2025","08,10,2025",100.00,0.00,1028155.90,
680,"08,10,2025","08,10,2025",132.00,0.00,1028023.90,
681,"09,10,2025","09,10,2025",114.00,0.00,1027909.90,
682,"09,10,2025","09,10,2025",93.00,0.00,1027816.90,
683,"09,10,2025","09,10,2025",90.00,0.00,1027726.90,
684,"10,10,2025","10,10,2025",715.40,0.00,1027011.50,
685,"10,10,2025","10,10,2025",120.00,0.00,1026891.50,
686,"10,10,2025","10,10,2025",70.00,0.00,1026821.50,
687,"10,10,2025","10,10,2025",750.00,0.00,1026071.50,
688,"11,10,2025","11,10,2025",2191.48,0.00,1023880.02,
689,"11,10,2025","11,10,2025",3973.00,0.00,1019907.02,
690,"11,10,2025","11,10,2025",470.00,0.00,1019437.02,
691,"12,10,2025","12,10,2025",1500.00,0.00,1017937.02,
692,"12,10,2025","12,10,2025",6501.00,0.00,1011436.02,
693,"12,10,2025","12,10,2025",335.00,0.00,1011101.02,
694,"13,10,2025","13,10,2025",430.00,0.00,1010671.02,
695,"13,10,2025","13,10,2025",100.00,0.00,1010571.02,
696,"13,10,2025","13,10,2025",860.00,0.00,1009711.02,
697,"13,10,2025","13,10,2025",130.00,0.00,1009581.02,
698,"14,10,2025","14,10,2025",100.00,0.00,1009481.02,
699,"14,10,2025","14,10,2025",0.00,2969.00,1012450.02,
700,"14,10,2025","14,10,2025",62.00,0.00,1012388.02,
701,"14,10,2025","14,10,2025",100.00,0.00,1012288.02,
702,"14,10,2025","14,10,2025",26.00,0.00,1012262.02,
703,"15,10,2025","15,10,2025",100.00,0.00,1012162.02,
704,"15,10,2025","15,10,2025",0.00,100.00,1012262.02,
705,"15,10,2025","15,10,2025",95.00,0.00,1012167.02,
706,"15,10,2025","15,10,2025",7544.00,0.00,1004623.02,
707,"15,10,2025","15,10,2025",61.00,0.00,1004562.02,
708,"15,10,2025","15,10,2025",69.00,0.00,1004493.02,
709,"15,10,2025","15,10,2025",100.00,0.00,1004393.02,
710,"16,10,2025","16,10,2025",431.15,0.00,1003961.87,
711,"16,10,2025","16,10,2025",355.00,0.00,1003606.87,
712,"16,10,2025","16,10,2025",70.00,0.00,1003536.87,
713,"16,10,2025","16,10,2025",6800.00,0.00,996736.87,
714,"16,10,2025","16,10,2025",700.00,0.00,996036.87,
Legends Used in Account Statement,,,,,,
1. INFT - Internal Fund Transfer (Within ICICI Bank),,,,,,
2. BPAY - Bill payment,,,,,,
3. BBPS - Bharat Bill Payment Service,,,,,,
4. NEFT - National Electronics Funds Transfer System (Other Bank Fund transfer),,,,,,
5. RCHG - Recharge,,,,,,
6. ONL - Online Shopping transaction (Payment done on third party website),,,,,,
7. SMO - Smart Money order,,,,,,
8. DTAX - Direct Tax,,,,,,
9. IDTX - Indirect Tax,,,,,,
10. PAVC - Pay any Visa credit card,,,,,,
11. PAC - Personal Accident cover,,,,,,
12. LNPY - Linked loan payment,,,,,,
13. CCWD - Cardless Cash Withdrawal,,,,,,
14. PAYC - Pay to Contact,,,,,,
15. IMPS - Immediate Payment Service,,,,,,
16. VAT / MAT / NFS - Cash withdrawal at other bank ATM,,,,,,
17. INF - Internet fund transfer in linked accounts,,,,,,
18. EBA - Transaction on ICICI Direct,,,,,,
19. BIL - Internet Bill payment or funds transfer to Third party,,,,,,
20. VPS / IPS - Debit card transaction,,,,,,
21. TOP - Mobile recharge,,,,,,
22. BCTT - Banking Cash Transaction Tax,,,,,,
23. UCCBRN CMS - Upcountry cheque collection,,,,,,
24. LCCBRN CMS - Local cheque collection,,,,,,
25. N chg - NEFT Charges,,,,,,
26. MMT - Mobile Money Transfer (Insta FT - IMPS),,,,,,
27. T Chg - Travel Charges,,,,,,
