S No.,Value Date,Transaction Date,Withdrawal Amount(INR),Deposit Amount(INR),Balance(INR),
101,"29,11,2024","29,11,2024",0.00,2400.00,45865.70,
102,"29,11,2024","29,11,2024",0.00,80667.00,126532.70,
103,"30,11,2024","30,11,2024",38846.82,0.00,87685.88,
104,"02,12,2024","02,12,2024",1.00,0.00,87684.88,
105,"02,12,2024","02,12,2024",599.00,0.00,87085.88,
106,"02,12,2024","02,12,2024",19000.00,0.00,68085.88,
107,"05,12,2024","05,12,2024",236.00,0.00,67849.88,
108,"09,12,2024","09,12,2024",13383.29,0.00,54466.59,
109,"18,12,2024","18,12,2024",20434.00,0.00,34032.59,
110,"27,12,2024","27,12,2024",3355.86,0.00,30676.73,
111,"30,12,2024","31,12,2024",0.00,80667.00,111343.73,
112,"30,12,2024","31,12,2024",0.00,510.00,111853.73,
113,"01,01,2025","01,01,2025",38289.32,0.00,73564.41,
114,"01,01,2025","01,01,2025",0.00,509.86,74074.27,
115,"07,01,2025","07,01,2025",13352.65,0.00,60721.62,
116,"17,11,2024","08,01,2025",6000.00,0.00,53221.62,
117,"17,11,2024","08,01,2025",1000.00,0.00,59221.62,
118,"17,11,2024","08,01,2025",500.00,0.00,60221.62,
119,"17,01,2025","17,01,2025",17690.56,0.00,35531.06,
120,"29,01,2025","29,01,2025",3348.18,0.00,32182.88,
121,"30,01,2025","30,01,2025",0.00,80667.00,112849.88,
122,"31,01,2025","31,01,2025",34351.40,0.00,78498.48,
123,"05,02,2025","05,02,2025",13321.63,0.00,65176.85,
124,"06,02,2025","06,02,2025",2.00,0.00,65174.85,
125,"17,02,2025","17,02,2025",15132.64,0.00,50042.21,
126,"19,02,2025","19,02,2025",0.00,2000.00,52042.21,
127,"24,02,2025","24,02,2025",3340.38,0.00,48701.83,
128,"24,02,2025","24,02,2025",1.00,0.00,48700.83,
129,"28,02,2025","28,02,2025",0.00,80355.00,129055.83,
130,"28,02,2025","28,02,2025",0.00,1350.00,130405.83,
131,"28,02,2025","28,02,2025",4000.00,0.00,126405.83,
132,"03,03,2025","03,03,2025",0.00,420.00,126825.83,
133,"03,03,2025","03,03,2025",1.00,0.00,126824.83,
134,"03,03,2025","03,03,2025",19000.00,0.00,107824.83,
135,"03,03,2025","03,03,2025",838.00,0.00,106986.83,
136,"03,03,2025","03,03,2025",90.00,0.00,106896.83,
137,"04,03,2025","04,03,2025",316.00,0.00,106580.83,
138,"04,03,2025","04,03,2025",599.00,0.00,105981.83,
139,"04,03,2025","04,03,2025",280.00,0.00,105701.83,
140,"04,03,2025","04,03,2025",300.00,0.00,105401.83,
141,"05,03,2025","05,03,2025",500.00,0.00,104901.83,
142,"07,03,2025","07,03,2025",200.00,0.00,104701.83,
143,"07,03,2025","07,03,2025",1476.00,0.00,103225.83,
144,"07,03,2025","07,03,2025",500.00,0.00,102725.83,
145,"07,03,2025","07,03,2025",706.82,0.00,102019.01,
146,"08,03,2025","08,03,2025",500.00,0.00,101519.01,
147,"09,03,2025","09,03,2025",1.00,0.00,101518.01,
148,"09,03,2025","09,03,2025",300.80,0.00,101217.21,
149,"10,03,2025","10,03,2025",500.00,0.00,100717.21,
150,"10,03,2025","10,03,2025",500.00,0.00,100217.21,
151,"10,03,2025","10,03,2025",714.00,0.00,99503.21,
152,"10,03,2025","10,03,2025",953.00,0.00,98550.21,
153,"11,03,2025","11,03,2025",200.00,0.00,98350.21,
154,"11,03,2025","11,03,2025",85.00,0.00,98265.21,
155,"11,03,2025","11,03,2025",162.39,0.00,98102.82,
156,"12,03,2025","12,03,2025",94.52,0.00,98008.30,
157,"12,03,2025","12,03,2025",247.00,0.00,97761.30,
158,"12,03,2025","12,03,2025",145.00,0.00,97616.30,
159,"14,03,2025","14,03,2025",460.00,0.00,97156.30,
160,"16,03,2025","16,03,2025",100.00,0.00,97056.30,
161,"17,03,2025","17,03,2025",100.00,0.00,96956.30,
162,"17,03,2025","17,03,2025",16603.97,0.00,80352.33,
163,"17,03,2025","17,03,2025",712.00,0.00,79640.33,
164,"18,03,2025","18,03,2025",118.00,0.00,79522.33,
165,"18,03,2025","18,03,2025",100.00,0.00,79422.33,
166,"19,03,2025","19,03,2025",120.00,0.00,79302.33,
167,"19,03,2025","19,03,2025",108.00,0.00,79194.33,
168,"20,03,2025","20,03,2025",1000.00,0.00,78194.33,
169,"21,03,2025","21,03,2025",320.00,0.00,77874.33,
170,"21,03,2025","21,03,2025",180.00,0.00,77694.33,
171,"21,03,2025","21,03,2025",250.00,0.00,77444.33,
172,"22,03,2025","22,03,2025",235.00,0.00,77209.33,
,,,,,,
173,"23,03,2025","23,03,2025",420.00,0.00,76789.33,
174,"26,03,2025","26,03,2025",160.00,0.00,76629.33,
175,"26,03,2025","26,03,2025",1.00,0.00,76628.33,
176,"26,03,2025","26,03,2025",99.60,0.00,76528.73,
177,"27,03,2025","27,03,2025",528.00,0.00,76000.73,
178,"27,03,2025","27,03,2025",0.00,150.00,76150.73,
179,"27,03,2025","27,03,2025",41660.00,0.00,34490.73,
180,"27,03,2025","27,03,2025",0.00,480.00,34970.73,
181,"28,03,2025","29,03,2025",0.00,618.00,35588.73,
182,"29,03,2025","29,03,2025",0.00,80356.00,115944.73,
183,"29,03,2025","29,03,2025",100.00,0.00,115844.73,
184,"29,03,2025","29,03,2025",12870.00,0.00,102974.73,
185,"29,03,2025","29,03,2025",10000.00,0.00,92974.73,
186,"29,03,2025","29,03,2025",117.00,0.00,92857.73,
187,"29,03,2025","29,03,2025",500.00,0.00,92357.73,
188,"30,03,2025","30,03,2025",150.00,0.00,92207.73,
189,"31,03,2025","31,03,2025",200.00,0.00,92007.73,
190,"31,03,2025","31,03,2025",515.00,0.00,91492.73,
191,"01,04,2025","01,04,2025",108.00,0.00,91384.73,
192,"01,04,2025","01,04,2025",35.00,0.00,91349.73,
193,"01,04,2025","01,04,2025",26.00,0.00,91323.73,
194,"01,04,2025","01,04,2025",65.00,0.00,91258.73,
195,"01,04,2025","01,04,2025",104.00,0.00,91154.73,
196,"01,04,2025","01,04,2025",36.00,0.00,91118.73,
197,"02,04,2025","02,04,2025",141.11,0.00,90977.62,
,,,,,,
198,"02,04,2025","02,04,2025",35.00,0.00,90942.62,
199,"02,04,2025","02,04,2025",40.00,0.00,90902.62,
200,"02,04,2025","02,04,2025",13.00,0.00,90889.62,
201,"02,04,2025","02,04,2025",80.00,0.00,90809.62,
202,"02,04,2025","02,04,2025",105.00,0.00,90704.62,
203,"03,04,2025","03,04,2025",19000.00,0.00,71704.62,
204,"03,04,2025","03,04,2025",600.00,0.00,71104.62,
205,"04,04,2025","04,04,2025",599.00,0.00,70505.62,
